INVITEES,COUNTRY,QUALIFICATION
"Bennett, Sam",United States,7-A
"Carr, Ben",United States,7-B
"Crowe, Harrison",Australia,9
"Fernandez de Oliveira, Mateo",Argentina,10
"McClean, Matthew",Northern Ireland,11
"Potgieter, Aldrich",S. Africa,8
"Sargent, Gordon",United States,Special
